Number,Name,Description,Price,Image Url
3,BMW 5 серии,"2018 г., 2 л., автомат седан, дизель руль слева, 65 000 км","$ 38 500
                                                                                                                                         
                                                                                                                                                                                         3 383 380 сом",https://im.mashina.kg/tachka/images//d/e/5/de5720af21c0ad98028e1f0194a4a6e4_240x180.jpg
3,BMW X5,"2021 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 22 000 км","$ 99 500
                                                                                                                                         
                                                                                                                                                                                         8 744 060 сом",https://im.mashina.kg/tachka/images//8/4/7/8473bd7ddc7bafe8cbe5a3b4188096f8_240x180.jpg
3,Honda HR-V,"2019 г., 1.8 л., вариатор внедорожник 5 дв., бензин руль слева, 40 000 км","$ 19 000
                                                                                                                                         
                                                                                                                                                                                         1 669 720 сом",https://im.mashina.kg/tachka/images//7/b/7/7b76ab8c49e90ebd81a74536cab12aef_240x180.jpg
3,Toyota Altezza,"2003 г., 2 л., автомат универсал, бензин руль справа, 308 000 км","$ 5 300
                                                                                                                                         
                                                                                                                                                                                         465 764 сом",https://im.mashina.kg/tachka/images//0/0/2/002f7a0560e3ca7a2d26e76c94df1089_240x180.jpg
3,Lexus LX,"2010 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 270 000 км","$ 38 500
                                                                                                                                         
                                                                                                                                                                                         3 383 380 сом",https://im.mashina.kg/tachka/images//6/b/f/6bf81e3fd12c4d546f7ea05f7a615733_240x180.jpg
3,Lexus RX,"2016 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 130 000 км","$ 48 000
                                                                                                                                         
                                                                                                                                                                                         4 218 240 сом",https://im.mashina.kg/tachka/images//1/2/1/121bf5a7c96014cdb024c4250fad8fca_240x180.jpg
4,Lexus LX,"2005 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 180 000 км","$ 24 000
                                                                                                                                         
                                                                                                                                                                                         2 109 120 сом",https://im.mashina.kg/tachka/images//e/6/f/e6fa9983a5a1e05a0e76be65eade9ab3_240x180.jpg
4,Toyota Camry,"2018 г., 2.5 л., автомат седан, бензин руль слева, 150 000 км","$ 24 500
                                                                                                                                         
                                                                                                                                                                                         2 153 060 сом",https://im.mashina.kg/tachka/images//9/0/9/9099f938fe87b20989208a1bacc983b0_240x180.jpg
4,BMW 5 серии,"2017 г., 3 л., автомат седан, бензин руль слева, 75 000 км","$ 43 500
                                                                                                                                         
                                                                                                                                                                                         3 822 780 сом",https://im.mashina.kg/tachka/images//d/4/8/d48b35cb193830807c642d0d3182f629_240x180.jpg
4,Toyota RAV4,"2014 г., 2 л., вариатор внедорожник 5 дв., бензин руль слева, 93 000 км","$ 22 000
                                                                                                                                         
                                                                                                                                                                                         1 933 360 сом",https://im.mashina.kg/tachka/images//0/9/d/09d23702282b8454e328c733e89ebde3_240x180.jpg
4,Kia K5 III Седан,"2020 г., 1.6 л., автомат седан, бензин руль слева, 34 800 км","$ 27 900
                                                                                                                                         
                                                                                                                                                                                         2 451 852 сом",https://im.mashina.kg/tachka/images//9/d/9/9d98403e4fd996a5e273a341770eb405_240x180.jpg
4,Toyota Avalon,"2017 г., 2.5 л., вариатор седан, гибрид руль слева, 130 000 км","$ 25 000
                                                                                                                                         
                                                                                                                                                                                         2 197 000 сом",https://im.mashina.kg/tachka/images//2/a/b/2abacafecd3533685ef72b6f460f29b2_240x180.jpg
4,BMW X5,"2005 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 306 000 км","$ 14 900
                                                                                                                                         
                                                                                                                                                                                         1 309 412 сом",https://im.mashina.kg/tachka/images//5/d/2/5d28884db944ccae7486513356462313_240x180.jpg
4,Hyundai Sonata,"2017 г., 2 л., автомат седан, газ руль слева, 209 500 км","$ 15 800
                                                                                                                                         
                                                                                                                                                                                         1 388 504 сом",https://im.mashina.kg/tachka/images//0/6/a/06ab58fd2adb90363d353385a33347e7_240x180.jpg
4,Lexus RX,"2009 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 207 000 км","$ 23 000
                                                                                                                                         
                                                                                                                                                                                         2 021 240 сом",https://im.mashina.kg/tachka/images//8/6/9/869e0addadd7c77367e0ba88e9c52ef0_240x180.jpg
